ticker,target_date,label,sentiment_score,negative_share,positive_share,neutral_share,article_count,return,market_return,expected_return,abnormal_return,event_rows,log_article_count
SSI,2022-10-05,positive,0.5,0.0,0.5,0.5,2,4.618573517047307,2.393809318952159,3.546290945638782,1.072282571408525,2,1.0986122886681098
SSI,2022-10-10,neutral,0.0,0.0,0.0,1.0,1,3.501451784510205,0.6322222377736505,0.8575677469996005,2.6438840375106047,1,0.6931471805599453
SSI,2022-10-12,neutral,0.0,0.0,0.0,1.0,2,6.266031499415865,2.803697591109357,4.171906402276836,2.0941250971390293,2,1.0986122886681098
SSI,2022-10-19,neutral,0.0,0.0,0.0,1.0,1,-0.8438868645864595,-0.3380847301222812,-0.6234188487000455,-0.22046801588641396,1,0.6931471805599453
SSI,2022-10-21,negative,-1.0,1.0,0.0,0.0,1,-7.129967758486649,-3.7179432686273985,-5.7821215649562605,-1.3478461935303887,1,0.6931471805599453
SSI,2022-10-24,neutral,0.0,0.0,0.0,1.0,1,-7.056124029248634,-3.3572947267802746,-5.2316610674990285,-1.8244629617496058,1,0.6931471805599453
SSI,2022-10-28,neutral,0.0,0.0,0.0,1.0,1,0.3535654832307576,-0.0632489548518375,-0.2039350021840609,0.5575004854148184,1,0.6931471805599453
SSI,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,2.4405627368140834,0.056439450727031965,-0.021253716582925533,2.461816453397009,1,0.6931471805599453
STB,2022-10-11,neutral,0.0,0.0,0.0,1.0,1,-7.004384373292644,-3.5421630779432305,-5.4199554549176865,-1.5844289183749574,1,0.6931471805599453
TCB,2022-10-21,neutral,0.0,0.0,0.0,1.0,1,-7.100342758016347,-3.7179432686273985,-4.4253021929154635,-2.6750405651008835,1,0.6931471805599453
TCB,2022-10-24,positive,1.0,0.0,1.0,0.0,1,-7.236783250347739,-3.3572947267802746,-4.000657530373007,-3.2361257199747318,1,0.6931471805599453
TCB,2022-10-25,neutral,0.0,0.0,0.0,1.0,1,0.0,1.1644157069949188,1.3234183453561614,-1.3234183453561614,1,0.6931471805599453
TCB,2022-10-28,neutral,0.0,0.0,0.0,1.0,1,6.589757827942424,-0.0632489548518375,-0.12209213244912359,6.711849960391548,1,0.6931471805599453
TCB,2022-10-31,neutral,0.5,0.0,0.0,1.0,2,0.7940050536614438,0.056439450727031965,0.018834661090577146,0.7751703925708666,2,1.0986122886681098
TGG,2022-10-10,neutral,0.0,0.0,0.0,1.0,1,0.2781642961876771,0.6322222377736505,-0.29514150129394134,0.5733057974816185,1,0.6931471805599453
TNI,2022-10-26,neutral,0.0,0.0,0.0,1.0,1,-1.9048194970694363,-0.4359493810874788,-0.7313438783087282,-1.1734756187607083,1,0.6931471805599453
VCB,2022-10-14,neutral,0.0,0.0,0.0,1.0,1,2.368706887129431,1.028009280448136,0.7407881098569241,1.6279187772725066,1,0.6931471805599453
VCB,2022-10-17,neutral,0.0,0.0,0.0,1.0,1,-2.665402991493169,-0.971887485170393,-0.6388485037802154,-2.0265544877129535,1,0.6931471805599453
VIC,2022-10-04,neutral,0.0,0.0,0.0,1.0,1,2.666824708216127,-0.766896181146886,-0.6333152769817825,3.3001399851979096,1,0.6931471805599453
VIC,2022-10-05,neutral,0.0,0.0,0.0,1.0,1,5.1293294387550485,2.393809318952159,0.8414415512868147,4.287887887468234,1,0.6931471805599453
VIC,2022-10-10,neutral,0.0,0.0,0.0,1.0,1,0.0,0.6322222377736505,0.019500824295216268,-0.019500824295216268,1,0.6931471805599453
